ID;country;country_name_woldbank;continent;abbreviation;latitude;longitude;total_CO2e_emissions_t;gdp_dollar;land_area_sq_km;life_expectancy_years;population_density;population;gini;life_evaluation;HDI
1;China;China;asia;CN;35,86166;104,195397;13021,242;1,83E+13;9388210;77,953;150,2640013;1410710000;36;5,921;0,797
2;India;India;asia;IN;20,593684;78,96288;3014,5226;3,64E+12;2973190;72,003;483,6790101;1438069596;25,5;4,389;0,685
3;United States;United States;north_america;US;23,424076;53,847818;4618,2675;2,73E+13;9147420;78,38536585;36,81980613;336806231;41,8;6,724;0,938
4;Nigeria;Nigeria;africa;NG;9,081999;8,675277;125,8687;4,87E+11;910770;54,462;250,2091033;227882945;33,9;4,885;0,56
5;Brazil;Brazil;south_america;BR;-14,235004;-51,92528;480,235;2,19E+12;8358140;75,848;25,26168849;211140729;51,6;6,494;0,786
6;Russia;Russian Federation;europe;RU;61,52401;105,318756;1948,3024;2,07E+12;16376870;73,25463415;8,782272192;143826130;33;5,945;0,832
7;Mexico;Mexico;north_america;MX;23,634501;-102,552784;475,5955;1,80E+12;1943950;75,069;66,74027573;129739759;43,5;6,979;0,789
8;Ethiopia;Ethiopia;africa;ET;9,145;40,489673;19,0165;1,36E+11;1128498,8;67,315;114,037952;128691692;31,1;3,898;0,497
9;Egypt;Egypt, Arab Rep.;africa;EG;26,820553;30,802498;275,8365;3,96E+11;995450;71,633;115,0592918;114535772;28,5;3,817;0,754
10;Vietnam;Viet Nam;asia;VN;14,058324;108,277199;390,7253;4,34E+11;313429;74,588;320,1751976;100352192;36,1;6,352;0,766
11;Democratic Republic of the Congo;Congo, Dem. Rep.;africa;CD;-4,038333;21,758664;6,1404;69843655425;2267050;61,895;46,66404843;105789731;44,7;3,469;0,522
12;Germany;Germany;europe;DE;51,165691;10,451526;589,6596;4,56E+12;349430;80,54146341;238,3518101;83287273;32,4;6,753;0,959
13;Iran;Iran, Islamic Rep.;asia;IR;32,427908;53,688046;816,133;4,58E+11;1622500;77,654;55,84511988;90608707;35,9;5,093;0,799
14;France;France;europe;FR;46,227638;2,213749;284,1541;3,06E+12;538950;82,92926829;126,8620206;68372286;31,8;6,593;0,92
15;South Africa;South Africa;africa;ZA;-30,559482;22,937506;427,2669;3,81E+11;1213090;66,139;52,10856903;63212384;63;5,213;0,741
16;Tanzania;Tanzania;africa;TZ;-6,369028;34,888822;21,5734;79030935627;885800;66,995;75,20614811;66617606;40,5;3,8;0,555
17;Colombia;Colombia;south_america;CO;4,570868;-74,297333;92,7973;3,66E+11;1109500;77,725;47,15741505;52321152;53,9;6,004;0,788
18;Argentina;Argentina;south_america;AR;-38,416097;-63,616672;189,8908;6,49E+11;2736690;77,395;16,63995593;45538401;42,4;6,397;0,865
19;Canada;Canada;north_america;CA;56,130366;-106,346771;567,0969;2,17E+12;8788700;81,64658537;4,560797843;40083484;31,1;6,803;0,939
20;Ukraine;Ukraine;europe;UA;48,379433;31,16558;121,6952;1,81E+11;579400;73,422;65,12398343;37732836;25,6;3,68;0,779
21;Angola;Angola;africa;AO;-11,202692;17,873887;27,336;1,07E+11;1246700;64,617;29,47774605;36749906;51,3;3,795;0,616
22;Peru;Peru;south_america;PE;-9,189967;-75,015152;65,0789;2,67E+11;1280000;77,74;26,44188828;33845617;40,1;5,947;0,794
23;Yemen;Yemen, Rep.;asia;YE;15,552727;48,516388;10,6254;21606160663;527970;69,295;74,60802508;39390799;36,7;3,561;0,47
24;Ivory Coast;Cote d'Ivoire;africa;CI;7,539989;-5,54708;17,925;80780312569;318000;61,944;98,00520126;31165654;35,3;5,102;0,582
25;Nepal;Nepal;asia;NP;28,394857;84,124008;15,432;41047772331;143350;70,354;207,1476386;29694614;30;5,311;0,622
26;Venezuela;Venezuela, RB;south_america;VE;6,42375;-66,58973;96,3903;1,02E+11;882050;72,514;32,08531716;28300854;44,7;5,683;0,709
27;Australia;Australia;oceania;AU;-25,274398;133,775136;377,4957;1,73E+12;7692020;83,05121951;3,465919485;26659922;33,8;6,974;0,958
28;Taiwan;Taiwan;asia;NA;25,105497;121,597366;NA;NA;36200;80,9;639;23112800;34,1;6,669;NA
29;Syria;Syrian Arab Republic;asia;SY;34,802075;38,996815;31,3571;23622827080;183630;72,12;128,4900234;23594623;26,6;3,462;0,564
30;Burkina Faso;Burkina Faso;africa;BF;12,238333;-1,561593;6,2637;20112614449;273600;61,092;84,15853801;23025776;37,4;4,383;0,459
31;Chile;Chile;south_america;CL;-35,675147;-71,542969;77,0074;3,36E+11;742831,64;81,167;26,4647249;19658835;43;6,361;0,878
32;Netherlands;Netherlands;europe;NL;52,132633;5,291266;122,9178;1,14E+12;33670;81,91463415;530,9509059;17877117;25,7;7,306;0,955
33;Ecuador;Ecuador;south_america;EC;-1,831239;-78,183406;46,7901;1,21E+11;248360;77,392;72,39524481;17980083;45,2;5,965;0,777
34;Benin;Benin;africa;BJ;9,30769;2,315834;6,8922;19673291004;112760;60,774;125,1421958;14111034;34,4;4,357;0,515
35;Bolivia;Bolivia;south_america;BO;-16,290154;-63,588653;24,4241;52340206946;1083300;68,581;11,30264839;12244159;42,1;5,868;0,733
