ID;item;latin_name;category;family;img
1;Aoudad;Ammotragus lervia;Artiodactyla;Bovidae;01.png
2;Brazilian tapir;Tapirus terrestris;Perissodactyla;Tapiridae;02.png
3;American bison;Bison bison;Artiodactyla;Bovidae;03.png
4;Giant anteater;Myrmecophaga tridactyla;Pilosa;Myrmecophagidae;04.png
5;Ibex;Capra ibex;Artiodactyla;Bovidae;05.png
6;Thomson's gazelle;Eudorcas thomsonii;Artiodactyla;Bovidae;06.png
7;Llama;Lama glama;Mammalia;Camelidae;07.png
8;Kirk's dik-dik;Madoqua kirkii;Artiodactyla;Bovidae;08.png
9;Red panda;Ailurus fulgens;Carnivora;Ailuridae;09.png
10;African buffalo;Syncerus caffer;Artiodactyla;Bovidae;10.png
11;Bactrian camel;Camelus bactrianus;Artiodactyla;Camelidae;11.png
12;Dromedary;Camelus dromedarius;Artiodactyla;Camelidae;12.png
13;Mule deer;Odocoileus hemionus;Artiodactyla;Cervidae;13.png
14;Caribou and reindeer;Rangifer tarandus;Artiodactyla;Cervidae;14.png
15;Giraffe;Giraffa camelopardalis;Artiodactyla;Giraffidae;15.png
16;Hippopotamus;Hippopotamus amphibius;Artiodactyla;Hippopotamidae;16.png
17;Wart hog;Phacochoerus africanus;Artiodactyla;Suidae;17.png
18;Wild boar;Sus scrofa;Artiodactyla;Suidae;18.png
19;Gray wolf;Canis lupus;Carnivora;Canidae;19.png
20;African wild dog;Lycaon pictus;Carnivora;Canidae;20.png
21;Raccoon dog;Nyctereutes procyonoides;Carnivora;Canidae;21.png
22;Bat-eared fox;Otocyon megalotis;Carnivora;Canidae;22.png
23;Cheetah;Acinonyx jubatus;Carnivora;Felidae;23.png
24;Lion;Panthera leo;Carnivora;Felidae;24.png
25;Leopard;Panthera pardus;Carnivora;Felidae;25.png
26;Tiger;Panthera tigris;Carnivora;Felidae;26.png
27;Dwarf mongoose;Helogale parvula;Carnivora;Herpestidae;27.png
28;Meerkat;Suricata suricatta;Carnivora;Herpestidae;28.png
29;Spotted hyena;Crocuta crocuta;Carnivora;Hyaenidae;29.png
30;Sea otter;Enhydra lutris;Carnivora;Mustelidae;30.png
31;Least weasel;Mustela nivalis;Carnivora;Mustelidae;31.png
32;Steller sea lion;Eumetopias jubatus;Carnivora;Otariidae;32.png
33;Harbor seal;Phoca vitulina;Carnivora;Phocidae;33.png
34;Raccoon;Procyon lotor;Carnivora;Procyonidae;34.png
35;Brown bear;Ursus arctos;Carnivora;Ursidae;35.png
36;Polar bear;Ursus maritimus;Carnivora;Ursidae;36.png
37;Humpback whale;Megaptera novaeangliae;Cetacea;Balaenopteridae;37.png
38;Bottlenosed dolphin;Tursiops truncatus;Cetacea;Delphinidae;38.png
39;Australian tiger cat;Dasyurus maculatus;Dasyuromorphia;Dasyuridae;39.png
40;Tasmanian devil;Sarcophilus harrisii;Dasyuromorphia;Dasyuridae;40.png
41;Western gray kangaroo;Macropus fuliginosus;Diprotodontia;Macropodidae;41.png
42;Quokka;Setonix brachyurus;Diprotodontia;Macropodidae;42.png
43;Sugar glider;Petaurus breviceps;Diprotodontia;Petauridae;43.png
44;Brush-tailed possum;Trichosurus vulpecula;Diprotodontia;Phalangeridae;44.png
